-1.05	-0.75	-0.5	-0.8	-0.9
-1.15	-0.7	-0.55	-0.25	-0.8
-1.2	-0.6	-0.5	-0.95	-0.85
-1.35	-0.5	-0.55	-0.7	-1.1
-1.2	-1.1	-0.6	-0.85	-1
-1.3	-0.65	-0.6	-0.7	-0.95
-1.2	-0.6	-0.65	-0.7	-1.1
-1.45	-0.8	-0.6	-0.75	-0.7
-0.9	-0.55	-0.6	-0.55	-0.8
-0.65	-0.7	-0.7	-0.55	-0.85
-0.5	-0.65	-0.7	-1.05	-1.25
-0.95	-0.6	-0.65	-0.75	-0.8
-1.05	-0.75	-0.65	-1	-1.2
-1.25	-0.3	-0.65	-1	-1
-0.9	-0.45	-0.75	-1.2	-1
-0.6	-0.6	-0.75	-1.15	-1.15
-0.9	-0.5	-0.75	-0.85	-1.25
-0.2	-0.6	-0.65	-1.2	-1.25
-1.15	-0.7	-0.6	-0.35	-1.3
-1	-0.7	-0.25	-0.85	-1.35
-0.7	-0.65	-0.65	-1.15	-0.85
-0.35	-0.65	-0.65	-1.2	-0.85
-0.65	-0.65	-0.7	-1.1	-1.05
-0.6	-0.75	-1.1	-0.75	-1.1
-0.5	-0.85	-1.05	-1.1	-0.9
-0.45	-0.7	-1.2	-1.1	-0.95
-0.65	-0.95	-0.9	-1	-0.1
-0.65	-0.8	-0.75	-1.05	-0.9
-0.7	-0.6	-0.85	-1.1	-1
-0.7	-0.85	-0.6	-0.8	-1.1
-0.4	-0.95	-0.7	-0.85	-0.95
-0.8	-1.05	-0.75	-0.85	-1.2
-0.9	-0.85	-0.6	-1.05	-1.05
-0.95	-0.8	-0.7	-1.05	-1
-0.8	-0.95	-0.75	-1.1	-0.95
-0.7	-1	-0.6	-1.1	-1.15
-0.6	-0.75	-0.75	-0.95	-0.85
-0.7	-0.5	-1.5	-0.9	-1.2
-0.65	-1.4	-1.1	-1.15	-0.85
-1	-1.05	-1	-0.95	-0.95
-1	-0.95	-1	-0.6	-0.95
-0.95	-0.95	-1.05	-0.8	-1
-1.05	-0.95	-1	-0.9	-0.6
-1.05	-0.8	-1.45	-0.65	-0.8
-0.95	-0.9	-1.6	-0.35	-0.85
-1	-0.85	-1.9	-0.7	-0.35
-1	-0.75	-0.6	-0.45	-1.05
-0.95	-0.6	-0.7	-0.75	-1.15
-1	-0.65	-0.5	-0.8	-0.85
-0.75	-0.6	-0.75	-0.8	-0.9
